Question|WH|WH-Bigram|WH-POS|WH-NBOR-POS|Root-POS|Class
Who starred in Singing in the Rain and The Singing Nun ?|Who|Who starred|WP|VBD|VBD|HUM
How do I make fuel bricks from recycled newspaper ?|How|How do|WRB|VBP|VB|DESC
What 19th-century painter died in the Marquesas Islands ?|What|What 19th|WDT|JJ|VBD|HUM
The corpus callosum is in what part of the body ?|what|what part|WDT|NN|VBZ|ENTY
How do I log on to home page at Headquarters U.S. European Command ?|How|How do|WRB|VBP|VB|DESC
What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .|What|What country|WP|NN|VB|LOC
What is Nebraska 's most valuable resource ?|What|What is|WP|VBZ|VBZ|ENTY
How many species of the Great White shark are there ?|How|How many|WRB|JJ|VBP|NUM
What is the origin of head lice ?|What|What is|WP|VBZ|VBZ|DESC
What is the nickname for the state of Mississippi ?|What|What is|WP|VBZ|VBZ|LOC
What was the first domesticated bird ?|What|What was|WP|VBD|VBD|ENTY
How many villi are found in the small intestine ?|How|How many|WRB|JJ|VBN|NUM
What country did King Wenceslas rule ?|What|What country|WP|NN|NN|LOC
What is a fear of shadows ?|What|What is|WP|VBZ|VBZ|ENTY
Who were the five Marx brothers ?|Who|Who were|WP|VBD|VBD|HUM
In which year was New Zealand excluded from the ANZUS alliance ?|which|which year|WDT|NN|VBD|NUM
When did CNN begin broadcasting ?|When|When did|WRB|VBD|VB|NUM
What causes the body to shiver in cold temperatures ?|What|What causes|WP|VBZ|VBZ|DESC
What are bear and bull markets ?|What|What are|WP|VBP|VBP|DESC
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?|What|What J.R.R.|WP|NNP|VBZ|ENTY
What is `` dew point '' ?|What|What is|WP|VBZ|NN|DESC
What is the meaning of Jesus ?|What|What is|WP|VBZ|VBZ|DESC
What company 's logo is a `` W '' in a circle ?|What|What company|WDT|NN|VBZ|HUM
What is the definition of a cascade ?|What|What is|WP|VBZ|VBZ|DESC
When did Rococo painting and architecture flourish ?|When|When did|WRB|VBD|VB|NUM
What country 's national passenger rail system is called Via ?|What|What country|WP|NN|VBN|LOC
Who invented Make-up ?|Who|Who invented|WP|VBD|VBD|HUM
What is the origin of the word `` attic '' ?|What|What is|WP|VBZ|VBZ|DESC
What did Delilah do to Samson 's hair ?|What|What did|WP|VBD|VB|DESC
What kind of animals were in the Paleozoic era ?|What|What kind|WDT|NN|VBD|ENTY
Which of the following was Rhodes Scholar ?|Which|Which of|WDT|IN|VBD|HUM
Who comprised the now-defunct comic book team known as the Champions ?|Who|Who comprised|WP|VBD|VBD|HUM
How do you make a paintball ?|How|How do|WRB|VBP|VB|DESC
What U.S. state is Fort Knox in ?|What|What U.S.|WP|NNP|VBZ|LOC
What is a female rabbit called ?|What|What is|WP|VBZ|VBZ|ENTY
Where is the highest point in Japan ?|Where|Where is|WRB|VBZ|VBZ|LOC
Where do chihuahuas come from ?|Where|Where do|WRB|VBP|VB|DESC
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?|Where|Where does|WRB|VBZ|VB|LOC
What are the world 's four oceans ?|What|What are|WP|VBP|VBP|LOC
What 's the only work by Michelangelo that bears his signature ?|that|What 's that bears|WDT|VBZ|VBZ|ENTY
What is the largest snake in the world ?|What|What is|WP|VBZ|VBZ|ENTY
In what medium is Stuart Hamblen considered to be the first singing cowboy ?|what|what medium|WDT|NN|VBZ|ENTY
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?|Where|Where on|WRB|IN|VB|LOC
How much money does a back injury lawsuit get ?|How|How much|WRB|JJ|VB|NUM
What 's the common name for acetylsalicylic acid ?|What|What 's|WP|VBZ|VBZ|ENTY
What does the Georgetown `` Hoya '' mean ?|What|What does|WP|VBZ|VB|DESC
Where can I find a list of `` classic '' books 5th and 6th graders should read ?|Where|Where can|WRB|MD|VB|LOC
Which two products use a tiger as their symbol ?|Which|Which two|WDT|CD|VBP|ENTY
How is the election of a new Pope announced to the world ?|How|How is|WRB|VBZ|VBZ|DESC
How long does it take for your blood to make one complete trip through the body ?|How|How long|WRB|RB|VB|NUM
How do chickens have baby chicks ?|How|How do|WRB|VBP|VB|DESC
What is the historical relationship of Catholic Church and bingo ?|What|What is|WP|VBZ|VBZ|DESC
How was the element calcium named ?|How|How was|WRB|VBD|VBD|DESC
What crooner joined The Andrews Sisters for Pistol Packin Mama ?|What|What crooner|WDT|NN|VBD|HUM
What piano company claims its product is the `` Instrument of the immortals '' ?|What|What piano|WDT|NN|VBZ|HUM
When did the Bounty mutiny take place ?|When|When did|WRB|VBD|VB|NUM
What novel inspired the movie BladeRunner ?|What|What novel|WDT|NN|VBD|ENTY
What is a transistor ?|What|What is|WP|VBZ|VBZ|DESC
What is a film starring Jude Law ?|What|What is|WP|VBZ|VBZ|ENTY
What Hollywood dog died in the arms of Jean Harlow in 1932 ?|What|What Hollywood|WP|NNP|VBD|ENTY
What are the most common elements in the Earth 's crust ?|What|What are|WP|VBP|VBP|ENTY
How much would it cost to purchase a 2-foot-square party tent , with sides , ?|How|How much|WRB|JJ|VB|NUM
What actress has received the most Oscar nominations ?|What|What actress|WDT|NN|VBN|HUM
What are equity securities ?|What|What are|WP|VBP|VBP|DESC
What is gymnophobia ?|What|What is|WP|VBZ|VBZ|DESC
How many years do fossils take to form ?|How|How many|WRB|JJ|VB|NUM
Where is the Orinoco ?|Where|Where is|WRB|VBZ|VBZ|LOC
What was the name of the `` Little Rascals '' dog ?|What|What was|WP|VBD|VBD|ENTY
What city boasts Penn 's Landing , on the banks of the Delaware river ?|What|What city|WDT|NN|VBZ|LOC
What Broadway musical was inspired by Cervantes 's Don Quixote ?|What|What Broadway|WP|NNP|VBN|ENTY
What is the origin of the word , JJ .|What|What is|WP|VBZ|VBZ|DESC
How many hostages were killed in the Entebbe raid ?|How|How many|WRB|JJ|VBN|NUM
How you can raise your IQ ?|How|How you|WRB|PRP|VB|DESC
What does INRI stand for when used on Jesus ' cross ?|when|What does when used|WRB|VBN|VB|ABBR
Who produces Spumante ?|Who|Who produces|WP|VBZ|VBZ|HUM
Who earns their money the hard way ?|Who|Who earns|WP|VBZ|VBZ|HUM
Who founded the People 's Temple Commune ?|Who|Who founded|WP|VBD|VBD|HUM
What athlete makes the most money from sports merchandise sales ?|What|What athlete|WDT|NN|VBZ|HUM
How many bends are there in a standard paper clip ?|How|How many|WRB|JJ|VBP|NUM
Who discovered electricity ?|Who|Who discovered|WP|VBD|VBD|HUM
What part of your body contains the corpus callosum ?|What|What part|WDT|NN|VBZ|ENTY
Who was the first American in space ?|Who|Who was|WP|VBD|VBD|HUM
What two South American countries do n't border Brazil ?|What|What two|WP|CD|VB|LOC
What album put The Beatles on the cover of Time in 1967 ?|What|What album|WP|NN|VBD|ENTY
What poem contains the line , `` grow old with me the best is yet to be '' .|What|What poem|WDT|NN|VBZ|ENTY
What is a dental root canal ?|What|What is|WP|VBZ|VBZ|DESC
What war did the Wanna-Go-Home Riots occur after ?|What|What war|WDT|NN|VBP|ENTY
What is the busiest air travel season ?|What|What is|WP|VBZ|VBZ|NUM
What 's the colored part of the eye called ?|What|What 's|WP|VBZ|VBZ|ENTY
What are hook worms ?|What|What are|WP|VBP|VBP|DESC
Where is the Rose Bowl played ?|Where|Where is|WRB|VBZ|VBD|LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ?|Which|Which Japanese|WDT|JJ|VBD|HUM
Who is the mayor of Marbella ?|Who|Who is|WP|VBZ|VBZ|HUM
What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?|What|What sun|WDT|NN|VBZ|LOC
In what year did Thatcher become prime minister ?|what|what year|WDT|NN|VB|NUM
How many months does it take the moon to revolve around the Earth ?|How|How many|WRB|JJ|VB|NUM
Where are the 49 steps ?|Where|Where are|WRB|VBP|VBP|LOC
In what year was De Gaulle elected president of France ?|what|what year|WDT|NN|VBD|NUM
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?|Who|Who sings|WP|VBZ|VBZ|HUM
Who directed `` Jaws '' ?|Who|Who directed|WP|VBD|VBD|HUM
On what T.V. show could Tom Terrific be found ?|what|what T.V.|WP|NNP|VBN|ENTY
What Indian tribe is F Troop perpetually doing battle with ?|What|What Indian|WDT|JJ|VBZ|HUM
Where did Indian Pudding come from ?|Where|Where did|WRB|VBD|VB|DESC
Why do some clothing labels say `` Use a nonchlorine bleach '' ?|Why|Why do|WRB|VBP|VBP|DESC
How many colonies were involved in the American Revolution ?|How|How many|WRB|JJ|VBN|NUM
What is the name of the city that Maurizio Pellegrin lives in ?|that|What is that Maurizio|WDT|NNP|VBZ|LOC
Where can I find pictorial directions on how to build a very simple treehouse ?|how|Where can how to|WRB|TO|VB|LOC
What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?|What|What game|WDT|NN|VBZ|ENTY
What is the name of the managing director of Apricot Computer ?|What|What is|WP|VBZ|VBZ|HUM
What is the occupation of Nicholas Cage ?|What|What is|WP|VBZ|VBZ|HUM
Why do horseshoes bring luck ?|Why|Why do|WRB|VBP|VB|DESC
What is the 401 , K , plan ?|What|What is|WP|VBZ|NN|DESC
What causes pneumonia ?|What|What causes|WP|VBZ|VBZ|DESC
What are the three winter months in the southern hemisphere ?|What|What are|WP|VBP|VBP|NUM
What does gringo mean ?|What|What does|WP|VBZ|VB|DESC
What country contains Africa 's northernmost point ?|What|What country|WP|NN|VBZ|LOC
What therapy attempts to elicit the `` primal scream '' ?|What|What therapy|WDT|NN|VBZ|ENTY
Where is the Kalahari desert ?|Where|Where is|WRB|VBZ|VBZ|LOC
Which Ventura County police department seized the largest cocaine shipment in it 's history ?|Which|Which Ventura|WDT|NNP|VBD|HUM
What city is sometimes called Gotham ?|What|What city|WDT|NN|VBN|LOC
What dangles over the tongue from the palate ?|What|What dangles|WP|VBZ|VBZ|ENTY
Who created Dennis the Menace ?|Who|Who created|WP|VBD|VBD|HUM
What dummy received an honorary degree from Northwestern University ?|What|What dummy|WDT|NN|VBD|HUM
When was the first Wall Street Journal published ?|When|When was|WRB|VBD|VBD|NUM
What countries have the largest areas of forest ?|What|What countries|WDT|NNS|VBP|LOC
How do I start a web based business ?|How|How do|WRB|VBP|VB|DESC
What is Eagle 's syndrome styloid process ?|What|What is|WP|VBZ|VBZ|DESC
How did Jayne Mansfield die ?|How|How did|WRB|VBD|VB|DESC
When did the royal wedding of Prince Andrew and Fergie take place ?|When|When did|WRB|VBD|VBP|NUM
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?|What|What actor|WDT|NN|VBD|HUM
What explorer was nicknamed Iberia 's Pilot ?|What|What explorer|WDT|NN|VBN|HUM
CNN began broadcasting in what year ?|what|what year|WDT|NN|VBD|NUM
What is a ball that hits the foul pole called ?|that|What is that hits|WDT|VBZ|VBZ|ENTY
What makes hamburgers taste like steakburgers ?|What|What makes|WP|VBZ|VBZ|DESC
Which company created the Internet browser Mosaic ?|Which|Which company|WDT|NN|VBD|HUM
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?|What|What are|WP|VBP|VBP|ENTY
What was the education system in the 1960 's ?|What|What was|WP|VBD|VBD|ENTY
What South American city has the world 's highest commercial landing field ?|What|What South|WP|JJ|VBZ|LOC
How can I find out which cities have cable-modem access ?|which|How can which cities|WDT|NNS|VB|DESC
What is Betsy Ross famous for ?|What|What is|WP|VBZ|VBZ|DESC
How many species of sharks are there ?|How|How many|WRB|JJ|VBP|NUM
What is `` snoogans '' ?|What|What is|WP|VBZ|VBZ|DESC
How many people are there in the world ?|How|How many|WRB|JJ|VBP|NUM
What shrubs can be planted that will be safe from deer ?|What|What shrubs|WDT|NNS|VBN|ENTY
What organization 's offices were broken into at Watergate in 1972 ?|What|What organization|WDT|NN|VBN|HUM
What is the design of the ship Titanic ?|What|What is|WP|VBZ|VBZ|DESC
What does S.O.S. stand for ?|What|What does|WP|VBZ|VB|ABBR
What is the daily requirement of folic acid for an expectant mother ?|What|What is|WP|VBZ|VBZ|DESC
What is the `` 7-minute cigarette '' ?|What|What is|WP|VBZ|VBZ|DESC
What four forms does gold occur in ?|What|What four|WP|CD|VB|ENTY
What is the acreage of the Chappellet vineyard ?|What|What is|WP|VBZ|VBZ|NUM
How do you correctly say the word ` qigong ' ?|How|How do|WRB|VBP|VB|DESC
When did beethoven die ?|When|When did|WRB|VBD|VB|NUM
How much does a new railroad coal car cost ?|How|How much|WRB|JJ|NN|NUM
What two European countries entered the War of American Independence against the British ?|What|What two|WP|CD|VBD|LOC
What is the filmmakers collabrative ?|What|What is|WP|VBZ|JJ|DESC
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?|What|What Russian|WDT|JJ|VBD|HUM
What caused Harry Houdini 's death ?|What|What caused|WP|VBD|VBD|DESC
Who was the mother of the man who would not be king , the duke of Windsor ?|who|Who was who would|WP|MD|VBD|HUM
How many revolutions does a standard LP make in three minutes ?|How|How many|WRB|JJ|VB|NUM
What is the name of the tallest mountain in the world ?|What|What is|WP|VBZ|VBZ|LOC
Where can I find a review of Nightmare on Elm Street in a film journal ?|Where|Where can|WRB|MD|VB|LOC
What 's the slowest Olympic swimming stroke ?|What|What 's|WP|VBZ|VBZ|ENTY
What was the name of the first Russian astronaut to do a spacewalk ?|What|What was|WP|VBD|VBD|HUM
What disease is transmitted by the Anopheles mosquito ?|What|What disease|WDT|NN|VBN|ENTY
What rum is so `` mixable '' it is a one-brand bar ?|What|What rum|WDT|NN|VBZ|ENTY
How many South American countries have the letter Z in their names ?|How|How many|WRB|JJ|VBP|NUM
What is the contents of proposition 98 ?|What|What is|WP|VBZ|VBZ|DESC
Where was George Washington born ?|Where|Where was|WRB|VBD|VBN|LOC
How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .|How|How many|WRB|JJ|VBN|NUM
Who wrote NN DT NNP NNP '' ?|Who|Who wrote|WP|VBD|VBD|HUM
What is paracetamol ?|What|What is|WP|VBZ|VBZ|DESC
What are the powers and weaknesses of Green Lantern 's ring ?|What|What are|WP|VBP|VBP|DESC
Which mosquito 's bite draws blood , DT NN CC DT NN .|Which|Which mosquito|WDT|NN|VBZ|ENTY
